No.,Category,Item,Specification / Description,Quantity,Unit,Purpose / Notes
1,Structural,MS Pipe,"50 × 50 mm, 6 m length",2,pcs,Structural material
2,Structural,Carbon Steel Block,Approx. 1 ft height × 6 in diameter,1,pc,Structural/workshop material
3,Structural,MS Hollow Cylindrical Pipe,Approx. 6 in diameter × 1 ft height,1,pc,Structural/workshop material
4,Fasteners,M8 Allen Bolts,M8,20,pcs,Fastener
5,Fasteners,M4 Bolts,M4,20,pcs,Fastener
6,Fasteners,MS Nuts,Mild steel,10,pcs,Fastener
7,Lab Equipment,Magnetic Stirrer,With Teflon-coated bar,1,pc,Laboratory equipment
8,Lab Equipment,Hot Plate,—,1,pc,Laboratory equipment
9,Lab Equipment,Weighing Machine,—,1,pc,Measurement equipment
10,Lab Equipment,Beaker,1 L,1,pc,Glassware
11,Lab Equipment,Beaker,500 ml,2,pcs,Glassware
12,Lab Equipment,Beaker,50 ml,2,pcs,Glassware
13,Lab Equipment,Beaker,10 ml,1,pc,Glassware
14,Tools,Pan,—,1,pc,Workshop/lab tool
15,Tools,Coffee Powder Making Machine,—,1,pc,Workshop equipment
16,Tools,Non-stick Pan,—,1,pc,Workshop/lab tool
17,Tools,Spatula,—,2,pcs,Workshop/lab tool
18,Tools,PVC Pipe,Project tooling,4,pcs,Tooling
19,Tools,Steel Rods,Project tooling,4,pcs,Tooling
20,Tools,Angle Grinder,—,1,pc,Workshop tool
21,General Materials,Sunboard,—,1,sheet,General project material
22,Consumables,Duct Tape,—,5,rolls,Consumable
23,Consumables,Feviquick,Adhesive,5,pcs,Consumable
24,Consumables,M-Seal,—,5,pcs,Consumable
25,Consumables,Sand Paper,—,5,sheets,Consumable
26,Storage,Zip-lock Bags,Airtight storage bags,20,pcs,Storage material
27,Storage,Silica Gel,Desiccant packets,300,pcs,Storage/desiccant
28,Safety,Safety Gloves,Protective gloves,1,pair,Personal protective equipment
29,Safety,Safety Masks,Protective masks,2,pcs,Personal protective equipment
30,Safety,Safety Goggles,Eye protection,1,pc,Personal protective equipment
31,Chemical,Potassium Nitrate,Chemical,15x500g,pc,Laboratory Chemical
32,Chemical,Sorbitol,Chemical,5,Kg,Laboratory Chemical
33,Chemical,Ferric Oxide,Chemical,500,gram,Laboratory Chemical


